INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Lone Star College System,1114500,6,,0.3311,0.1824,,24554.0,6694.0,0.666666667,5193,68473.02,2,2,1,0.0,0.0,13.0,6468.0,Associates,Public,South West,City: Small,City
North Lake College,2077400,6,,0.2837,0.0712,,8615.0,7047.0,PrivacySuppressed,6000,66250.74,2,2,1,0.0,0.0,12.0,4485.0,Associates,Public,South West,City: Midsize,City
University of North Texas,359400,6,1093.0,0.3644,0.5564,0.70147049775426,21059.0,10381.0,0.776476666,13709,72891.36,1,4,1,0.0,0.0,12.0,12784.0,Graduate,Public,South West,City: Midsize,City
Northeast Texas Community College,2315400,6,,0.5135,0.1943,,1832.0,6241.0,0.5,8220,43446.89,2,2,1,0.0,0.0,42.0,7320.0,Associates,Public,South West,Rural: Distant,Rural
Northwood University-Texas,407221,6,1026.0,0.5539999999999999,0.9065,0.6944065484311,1014.0,7525.0,0.698630137,18494.5,64809.96,1,4,2,0.0,0.0,41.0,32666.0,Graduate,Private non-profit,South West,Rural: Fringe,Rural
Oblate School of Theology,359500,6,,,,,26.0,4755.0,,PrivacySuppressed,,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,South West,City: Large,City
Ocean Corporation,2600200,6,,0.5889,0.6876,,124.0,,0.461538462,9500,62591.31,3,1,3,0.0,0.0,11.0,24221.0,Certificate,Private for-profit,South West,City: Large,City
Odessa College,359600,6,,0.2302,0.0433,,4568.0,5919.0,PrivacySuppressed,5150,43302.87,2,2,1,0.0,0.0,13.0,6290.0,Associates,Public,South West,City: Small,City
Ogle School Hair Skin Nails-Arlington,1301600,6,,0.7508,0.6907,,168.0,,0.368231047,7812,70358.17,3,1,3,0.0,0.0,11.0,16376.0,Certificate,Private for-profit,South West,City: Large,City
Ogle School Hair Skin Nails-Ft Worth,2230500,6,,0.7486,0.7240000000000001,,92.0,,0.427098675,7254,61768.59,3,1,3,0.0,0.0,11.0,16611.0,Certificate,Private for-profit,South West,City: Large,City
Our Lady of the Lake University,359800,6,920.0,0.5812,0.7524,0.68101509797622,2233.0,6816.0,0.634844869,15000,52505.04,1,4,2,0.0,0.0,11.0,16493.0,Graduate,Private non-profit,South West,City: Large,City
The University of Texas Rio Grande Valley,359900,6,924.0,0.642,0.3628,0.82241855328547,11186.0,7893.0,0.68113879,7250.5,35906.7,1,4,1,0.0,0.0,13.0,4250.0,Graduate,Public,South West,City: Small,City
Texas Southmost College,3064600,6,,0.5997,0.3765,,8385.0,5303.0,0.617628408,9468,34960.98,1,4,1,0.0,0.0,12.0,2889.0,Graduate,Public,South West,City: Midsize,City
Panola College,360000,6,,0.4455,0.2703,,1424.0,5780.0,PrivacySuppressed,5215,42941.94,2,2,1,0.0,0.0,32.0,6797.0,Associates,Public,South West,Town: Distant,Town
Paris Junior College,360100,6,,0.406,0.0,,2942.0,6549.0,0.456790124,3500,44595.96,2,2,1,0.0,0.0,33.0,6018.0,Associates,Public,South West,Town: Remote,Town
Paul Quinn College,360200,6,772.0,0.9963,0.9963,0.59870450339296,674.0,5128.0,0.369565217,7250,52585.23,1,3,2,0.0,0.0,11.0,17948.0,Bachelors,Private non-profit,South West,City: Large,City
Prairie View A & M University,363000,6,857.0,0.6604,0.7689,0.85948292875468,5285.0,7364.0,0.600896861,16229,57579.55,1,4,1,0.0,0.0,32.0,11029.0,Graduate,Public,South West,Town: Distant,Town
Ranger College,360300,6,,0.3455,0.2259,,847.0,3710.0,0.47826087,5500,46470.06,2,2,1,0.0,0.0,42.0,6073.0,Associates,Public,South West,Rural: Distant,Rural
Aviation Institute of Maintenance-Houston,4146700,6,,0.4068,0.5254,,378.0,,PrivacySuppressed,12000,56783.64,2,1,3,0.0,0.0,11.0,25259.0,Certificate,Private for-profit,South West,City: Large,City
Rice University,360400,6,1482.0,0.1546,0.1666,0.15960113642694,2692.0,14946.0,0.936555891,9976,77707.58,1,4,2,0.0,0.0,11.0,21024.0,Graduate,Private non-profit,South West,City: Large,City
Richland College,850400,6,,0.2946,0.063,,12537.0,7594.0,PrivacySuppressed,5500,64870.98,2,2,1,0.0,0.0,11.0,3438.0,Associates,Public,South West,City: Large,City
Brightwood College-McAllen,946607,6,,0.7746,0.615,,680.0,3233.0,0.235282575,8563.5,41882.77,2,2,3,0.0,0.0,12.0,19446.0,Associates,Private for-profit,South West,City: Midsize,City
Saint Edward's University,362100,6,1135.0,0.3477,0.5518,0.77453317441398,3105.0,8262.0,0.782250686,21500,71197.81,1,4,2,0.0,0.0,11.0,20034.0,Graduate,Private non-profit,South West,City: Large,City
St Philip's College,360800,6,,0.2687,0.0693,,7921.0,5680.0,0.631578947,7000,49609.21,2,2,1,0.0,0.0,11.0,6120.0,Associates,Public,South West,City: Large,City
University of St Thomas,365400,6,1103.0,0.3296,0.398,0.7803203661327199,1904.0,6866.0,0.725806452,15750,71790.89,1,4,2,0.0,0.0,11.0,20348.0,Graduate,Private non-profit,South West,City: Large,City
Sam Houston State University,360600,6,997.0,0.4306,0.5672,0.72711534299935,10855.0,7410.0,0.763497847,15500,63900.24,1,4,1,0.0,0.0,32.0,12887.0,Graduate,Public,South West,Town: Distant,Town
San Antonio College,916300,6,,0.3013,0.0752,,19253.0,6561.0,0.624573379,5669,51882.34,2,2,1,0.0,0.0,11.0,6636.0,Associates,Public,South West,City: Large,City
San Jacinto Community College,360900,6,,0.2761,0.0593,,10507.0,6912.0,0.608247423,5500,61495.77,2,2,1,0.0,0.0,21.0,7909.0,Associates,Public,South West,Suburb: Large,Suburb
Schreiner University,361000,6,997.0,0.4435,0.6921,0.90137857900318,751.0,6145.0,0.690298508,14250,58273.81,1,4,2,0.0,0.0,33.0,19962.0,Graduate,Private non-profit,South West,Town: Remote,Town
Seguin Beauty School-Seguin,2521800,6,,0.7021,0.5532,,29.0,,PrivacySuppressed,6976,53314.25,3,1,3,0.0,0.0,31.0,13755.0,Certificate,Private for-profit,South West,Town: Fringe,Town
St. Mary's University,362300,6,1038.0,0.4983,0.655,0.55195473251028,2618.0,10069.0,0.766778524,24000,56236.53,1,4,2,0.0,0.0,11.0,17691.0,Graduate,Private non-profit,South West,City: Large,City
South Plains College,361100,6,,0.3901,0.1847,,6731.0,5493.0,0.622266402,5500,46458.66,2,2,1,0.0,0.0,32.0,5494.0,Associates,Public,South West,Town: Distant,Town
South Texas Barber College Inc,3922300,6,,0.6515,0.0,,,,,PrivacySuppressed,44919.88,3,1,3,0.0,0.0,11.0,7181.0,Certificate,Private for-profit,South West,City: Large,City
South Texas College of Law Houston,497700,6,,,,,,14237.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,South West,City: Large,City
South Texas Vocational Technical Institute-Weslaco,2548800,6,,0.6641,0.6641,,335.0,,0.216302611,9500,32125.19,3,1,3,0.0,0.0,21.0,24412.0,Certificate,Private for-profit,South West,Suburb: Large,Suburb
South Texas Vocational Technical Institute-McAllen,2306809,6,,0.8583,0.878,,713.0,,0.366666667,8735,34943.1,3,1,3,0.0,0.0,12.0,24139.0,Certificate,Private for-profit,South West,City: Midsize,City
Southern Methodist University,361300,6,1330.0,0.1516,0.2849,0.4895320197044301,5662.0,11969.0,0.862559242,19000,82038.46,1,4,2,0.0,0.0,21.0,32580.0,Graduate,Private non-profit,South West,Suburb: Large,Suburb
Southwest School of Business and Technical Careers-San Antonio,2218300,6,,0.9384,0.7014,,81.0,,0.219607843,4967,39047.26,3,1,3,0.0,0.0,11.0,17952.0,Certificate,Private for-profit,South West,City: Large,City
Southwest Texas Junior College,361400,6,,0.4702,0.0687,,3715.0,2269.0,0.485380117,4750,33388.81,2,2,1,0.0,0.0,33.0,6592.0,Associates,Public,South West,Town: Remote,Town
Southwestern Assemblies of God University,361600,6,949.0,0.5432,0.7641,0.27964359150102003,1666.0,5318.0,0.745454546,14250,59789.49,1,4,2,0.0,0.0,21.0,24819.0,Graduate,Private non-profit,South West,Suburb: Large,Suburb
Southwestern University,362000,6,1168.0,0.2653,0.528,0.44218415417558,1309.0,7795.0,0.926530612,23250,75446.44,1,3,2,0.0,0.0,21.0,22573.0,Bachelors,Private non-profit,South West,Suburb: Large,Suburb
Stephen F Austin State University,362400,6,1001.0,0.4165,0.5835,0.61570901423299,10246.0,7365.0,0.796472185,16750,60702.32,1,4,1,0.0,0.0,41.0,15473.0,Graduate,Public,South West,Rural: Fringe,Rural
Texas State University,361500,6,1038.0,0.35,0.53,0.70841581768142,19412.0,7855.0,0.737024854,14000,66830.13,1,4,1,0.0,0.0,23.0,14676.0,Graduate,Public,South West,Suburb: Small,Suburb
Southwestern Adventist University,361900,6,904.0,0.5282,0.6738,0.4850948509485,1156.0,6175.0,0.704545455,14625,57388.77,1,4,2,0.0,0.0,31.0,19125.0,Graduate,Private non-profit,South West,Town: Fringe,Town
Southwestern Christian College,361800,6,,0.6609999999999999,0.4237,,211.0,2665.0,PrivacySuppressed,8250,55737.34,1,3,2,0.0,0.0,32.0,9004.0,Bachelors,Private non-profit,South West,Town: Distant,Town
Sul Ross State University,362500,6,842.0,0.5847,0.5436,0.7996500437445301,1990.0,5956.0,0.607843137,9139,40704.93,1,4,1,0.0,0.0,33.0,13042.0,Graduate,Public,South West,Town: Remote,Town
Tarleton State University,363100,6,959.0,0.398,0.5674,0.4966666666666599,6222.0,7551.0,0.785365854,12950,55170.11,1,4,1,0.0,0.0,33.0,15364.0,Graduate,Public,South West,Town: Remote,Town
Tarrant County College District,362600,6,,0.3718,0.3002,,26868.0,6922.0,0.627118644,4750,65535.29,2,2,1,0.0,0.0,11.0,5380.0,Associates,Public,South West,City: Large,City
Temple College,362700,6,,0.4935,0.4129,,3404.0,5639.0,0.635687732,8342,53941.2,2,2,1,0.0,0.0,13.0,4356.0,Associates,Public,South West,City: Small,City
University of Texas Southwestern Medical Center,1001900,6,,,,,239.0,8621.0,PrivacySuppressed,PrivacySuppressed,74002.01,1,4,1,0.0,0.0,11.0,,Graduate,Public,South West,City: Large,City
The University of Texas Health Science Center at San Antonio,365900,6,,0.3261,0.6218,,762.0,8524.0,0.892938497,11500,63722.84,1,4,1,0.0,0.0,11.0,,Graduate,Public,South West,City: Large,City
The University of Texas Medical Branch,495200,6,,0.2797,0.5720000000000001,,653.0,8476.0,0.841216216,13917,64429.18,1,4,1,0.0,0.0,31.0,,Graduate,Public,South West,Town: Fringe,Town
Texarkana College,362800,6,,0.4698,0.2256,,3735.0,5685.0,,7035,42814.93,2,2,1,0.0,0.0,13.0,8392.0,Associates,Public,South West,City: Small,City
Texas A & M University-Kingsville,363900,6,937.0,0.5357,0.5912,0.82366557734204,4822.0,7627.0,0.689497717,12500,45266.24,1,4,1,0.0,0.0,32.0,12602.0,Graduate,Public,South West,Town: Distant,Town
Texas A & M University-College Station,363200,6,1212.0,0.2173,0.3265,0.6664257971276301,36229.0,10789.0,0.913114511,15259.5,67194.13,1,4,1,0.0,0.0,13.0,13426.0,Graduate,Public,South West,City: Small,City
The University of Texas at Arlington,365600,6,1038.0,0.3748,0.4577,0.66363552008907,15449.0,8790.0,0.769555339,12000,66876.51,1,4,1,0.0,0.0,11.0,14059.0,Graduate,Public,South West,City: Large,City
The University of Texas at Austin,365800,6,1297.0,0.2476,0.3614,0.39236176637101,38162.0,11472.0,0.8832021,20664,72284.1,1,4,1,0.0,0.0,11.0,17742.0,Graduate,Public,South West,City: Large,City
The University of Texas at Dallas,974100,6,1265.0,0.3548,0.5022,0.6148438195247801,6560.0,12287.0,0.809980806,13750,79361.13,1,4,1,0.0,0.0,13.0,12940.0,Graduate,Public,South West,City: Small,City
The University of Texas at El Paso,366100,6,933.0,0.5878,0.4421,0.99985982618446,12955.0,8628.0,0.723130841,11184.5,46777.52,1,4,1,0.0,0.0,11.0,6638.0,Graduate,Public,South West,City: Large,City
The University of Texas at Tyler,1116300,6,1059.0,0.3618,0.4204,0.64465153970826,2602.0,7971.0,0.801162791,12255,53622.93,1,4,1,0.0,0.0,13.0,15162.0,Graduate,Public,South West,City: Small,City
Texas Chiropractic College Foundation Inc,363500,6,,,,,0.0,5194.0,PrivacySuppressed,PrivacySuppressed,64593.5,1,4,2,0.0,0.0,21.0,,Graduate,Private non-profit,South West,Suburb: Large,Suburb
Texas Christian University,363600,6,1220.0,0.1278,0.2726,0.43282852955544,6675.0,9920.0,0.8872,19500,76266.48,1,4,2,0.0,0.0,11.0,32005.0,Graduate,Private non-profit,South West,City: Large,City
Texas College,363800,6,,0.838,0.8532,,92.0,4078.0,0.394366197,9500,47120.52,1,3,2,0.0,0.0,13.0,12279.0,Bachelors,Private non-profit,South West,City: Small,City
University of North Texas Health Science Center,976800,6,,,,,,,PrivacySuppressed,5332,63070.86,1,4,1,0.0,0.0,11.0,,Graduate,Public,South West,City: Large,City
Texas Lutheran University,364100,6,1006.0,0.3959,0.6940000000000001,0.50724637681159,1460.0,6961.0,0.801916933,19875,65468.32,1,4,2,0.0,0.0,31.0,18425.0,Graduate,Private non-profit,South West,Town: Fringe,Town
The University of Texas of the Permian Basin,993000,6,965.0,0.2313,0.2122,0.84488734835355,1642.0,7630.0,0.788235294,7750,47475.29,1,4,1,0.0,0.0,13.0,5823.0,Graduate,Public,South West,City: Small,City
The University of Texas at San Antonio,1011500,6,1043.0,0.4397,0.5059,0.7795110148987601,16026.0,9387.0,0.748636265,14795,63798.29,1,4,1,0.0,0.0,11.0,11843.0,Graduate,Public,South West,City: Large,City
Brightwood College-Houston,2312200,6,,0.6868,0.5071,,315.0,,0.246795925,6700.5,56685.51,3,1,3,0.0,0.0,11.0,22443.0,Certificate,Private for-profit,South West,City: Large,City
Texas Southern University,364200,6,817.0,0.6398,0.6751,0.50901115667016,5124.0,7552.0,0.484069887,14000,53781.71,1,4,1,0.0,0.0,11.0,19221.0,Graduate,Public,South West,City: Large,City
Texas Tech University,364400,6,1134.0,0.2808,0.4637,0.63059539330725,20518.0,9058.0,0.857751064,15700,65284.89,1,4,1,0.0,0.0,12.0,16804.0,Graduate,Public,South West,City: Midsize,City
Texas Wesleyan University,364500,6,1003.0,0.4262,0.5175,0.45950359242325,2015.0,7261.0,0.575163399,15000,62890.39,1,4,2,0.0,0.0,11.0,24775.0,Graduate,Private non-profit,South West,City: Large,City
Texas Woman's University,364600,6,941.0,0.4544,0.5351,0.85917854149203,4476.0,8208.0,0.770623743,14152,69739.2,1,4,1,0.0,0.0,12.0,9105.0,Graduate,Public,South West,City: Midsize,City
Trinity University,364700,6,1294.0,0.1687,0.5484,0.48031637605608,2356.0,10269.0,0.953658537,21251,78650.29,1,4,2,0.0,0.0,11.0,24581.0,Graduate,Private non-profit,South West,City: Large,City
The University of Texas Health Science Center at Houston,495100,6,,0.4081,0.7743,,264.0,9791.0,0.895306859,13771,72139.11,1,4,1,0.0,0.0,11.0,,Graduate,Public,South West,City: Large,City
Texas Tech University Health Sciences Center,1067400,6,,0.2768,0.5187,,534.0,8442.0,0.858267717,12500,60332.73,1,4,1,0.0,0.0,12.0,,Graduate,Public,South West,City: Midsize,City
Tyler Junior College,364800,6,,0.3977,0.3377,,8319.0,5235.0,0.576512456,5500,50647.26,2,2,1,0.0,0.0,13.0,8788.0,Associates,Public,South West,City: Small,City
Universal Technical Institute of Texas Inc.,2362000,6,,0.4778,0.5902,,1625.0,,0.564542936,12656,62876.8,2,1,3,0.0,0.0,11.0,16818.0,Certificate,Private for-profit,South West,City: Large,City
University of Cosmetology Arts & Sciences-McAllen,2285900,6,,0.5244,0.4329,,269.0,,0.362190813,3837,33345.99,3,1,3,0.0,0.0,12.0,13110.0,Certificate,Private for-profit,South West,City: Midsize,City
Vernon College,1006000,6,,0.4531,0.3697,,2095.0,5046.0,0.630522088,5639,45348.72,2,2,1,0.0,0.0,41.0,6011.0,Associates,Public,South West,Rural: Fringe,Rural
Victoria Beauty College Inc,1202000,6,,0.7589,0.7589,,73.0,,0.476923077,2750,,3,1,3,0.0,0.0,13.0,9539.0,Certificate,Private for-profit,South West,City: Small,City
Victoria College,366200,6,,0.3389,0.117,,4022.0,5766.0,0.58974359,6000,49349.59,2,2,1,0.0,0.0,13.0,7439.0,Associates,Public,South West,City: Small,City
Vogue College of Cosmetology-McAllen,4178400,6,,0.2852,0.1779,,,,,6333,,3,1,3,0.0,0.0,12.0,12112.0,Certificate,Private for-profit,South West,City: Midsize,City
Wayland Baptist University,366300,6,911.0,0.3548,0.4462,0.9870848708487,4634.0,4810.0,0.773480663,12500,52818.65,1,4,2,0.0,0.0,33.0,15438.0,Graduate,Private non-profit,South West,Town: Remote,Town
Weatherford College,366400,6,,0.3153,0.135,,2788.0,5923.0,0.708074534,6000,56911.63,2,2,1,0.0,0.0,31.0,6563.0,Associates,Public,South West,Town: Fringe,Town
West Texas A & M University,366500,6,971.0,0.3925,0.5163,0.6688860896166899,5623.0,7573.0,0.794661191,12000,51385.91,1,4,1,0.0,0.0,31.0,12771.0,Graduate,Public,South West,Town: Fringe,Town
Western Texas College,954900,6,,0.1626,0.0687,,1233.0,4505.0,0.6,5500,42581.73,2,2,1,0.0,0.0,33.0,4432.0,Associates,Public,South West,Town: Remote,Town
Wharton County Junior College,366800,6,,0.2331,0.2026,,4571.0,5947.0,0.6,5500,63150.9,2,2,1,0.0,0.0,32.0,4640.0,Associates,Public,South West,Town: Distant,Town
Wiley College,366900,6,,0.738,0.7942,,552.0,4651.0,0.321782178,19000,46196.02,1,3,2,0.0,0.0,32.0,13520.0,Bachelors,Private non-profit,South West,Town: Distant,Town
AmeriTech College-Provo,2270800,7,,0.5875,0.6813,0.77464788732394,360.0,,0.721088435,20000,62933.79,3,1,3,0.0,0.0,12.0,11778.0,Certificate,Private for-profit,Rocky Mtns,City: Midsize,City
Bridgerland Applied Technology College,2115400,7,,0.2021,0.0,,304.0,,,PrivacySuppressed,55450.03,2,1,1,0.0,0.0,13.0,5306.0,Certificate,Public,Rocky Mtns,City: Small,City
Brigham Young University-Provo,367000,7,1290.0,0.3716,0.1805,0.48048744019138,29688.0,10331.0,0.905792045,8500,64914.81,1,4,2,0.0,0.0,12.0,12597.0,Graduate,Private non-profit,Rocky Mtns,City: Midsize,City
Brigham Young University-Hawaii,160600,8,1098.0,0.24,0.1697,0.35622168002788,2353.0,8801.0,0.869281046,5500,69190.39,1,3,2,0.0,0.0,31.0,9764.0,Bachelors,Private non-profit,Far West,Town: Fringe,Town
Broadview University-West Jordan,1116600,7,,0.6233,0.7116,,175.0,3928.0,0.577956989,13390,70004.7,1,3,3,0.0,0.0,21.0,20263.0,Bachelors,Private for-profit,Rocky Mtns,Suburb: Large,Suburb
Cameo College of Essential Beauty,3921300,7,,0.3786,0.3689,,,,0.617886179,4750,,3,1,3,0.0,0.0,21.0,17244.0,Certificate,Private for-profit,Rocky Mtns,Suburb: Large,Suburb
Sherman Kendall Academy-Midvale,2078800,7,,0.9219,0.25,,64.0,,PrivacySuppressed,4000,74279.27,3,1,3,0.0,0.0,21.0,11969.0,Certificate,Private for-profit,Rocky Mtns,Suburb: Large,Suburb
Davis Applied Technology College,2156600,7,,0.0745,0.0,,324.0,,,PrivacySuppressed,69258.84,2,1,1,0.0,0.0,21.0,,Certificate,Public,Rocky Mtns,Suburb: Large,Suburb
Dixie State University,367100,7,,0.4473,0.3454,,6350.0,6621.0,0.802139037,7750,56462.47,1,3,1,0.0,0.0,13.0,10703.0,Bachelors,Public,Rocky Mtns,City: Small,City
Evans Hairstyling College-Cedar City,2573100,7,,0.6,0.3467,,52.0,,PrivacySuppressed,5500,47704.5,2,1,3,0.0,0.0,33.0,4555.0,Certificate,Private for-profit,Rocky Mtns,Town: Remote,Town
Evans Hairstyling College-St George,2572700,7,,0.2308,0.0,,36.0,,,PrivacySuppressed,55705.26,2,1,3,0.0,0.0,13.0,6649.0,Certificate,Private for-profit,Rocky Mtns,City: Small,City
Paul Mitchell the School-Salt Lake City,2556800,7,,0.5062,0.484,,68.0,,0.5625,9500,67787.32,3,1,3,0.0,0.0,21.0,17364.0,Certificate,Private for-profit,Rocky Mtns,Suburb: Large,Suburb
Eagle Gate College-Murray,2178500,7,,0.7479,0.8319,,38.0,5945.0,0.465260546,12931,64280.58,1,3,3,0.0,0.0,21.0,19327.0,Bachelors,Private for-profit,Rocky Mtns,Suburb: Large,Suburb
Latter-day Saints Business College,367200,7,,0.3305,0.1859,,824.0,6589.0,0.871212121,3500,65716.93,2,2,2,0.0,0.0,12.0,7784.0,Associates,Private non-profit,Rocky Mtns,City: Midsize,City
Ogden-Weber Applied Technology College,2346500,7,,0.1481,0.0,,1231.0,,,PrivacySuppressed,58788.84,2,1,1,0.0,0.0,13.0,2121.0,Certificate,Public,Rocky Mtns,City: Small,City
Snow College,367900,7,,0.303,0.4216,,1503.0,5338.0,PrivacySuppressed,3500,58086.68,1,3,1,0.0,0.0,33.0,10291.0,Bachelors,Public,Rocky Mtns,Town: Remote,Town
Southern Utah University,367800,7,1078.0,0.3827,0.5133,0.7213544771670402,5729.0,6183.0,0.884210526,7250,55546.63,1,4,1,0.0,0.0,33.0,14434.0,Graduate,Public,Rocky Mtns,Town: Remote,Town
Stevens-Henager College,367400,7,,0.7445,0.6854,,298.0,3481.0,0.464067278,9500,60842.94,1,3,2,0.0,0.0,21.0,26173.0,Bachelors,Private non-profit,Rocky Mtns,Suburb: Large,Suburb
Stevens-Henager College,367401,7,,0.7259,0.7741,,242.0,3786.0,0.464067278,9500,60842.94,1,3,2,0.0,0.0,13.0,24452.0,Bachelors,Private non-profit,Rocky Mtns,City: Small,City
Uintah Basin Applied Technology College,1116500,7,,0.0216,0.0,,223.0,,,PrivacySuppressed,44227.63,3,1,1,0.0,0.0,33.0,3668.0,Certificate,Public,Rocky Mtns,Town: Remote,Town
Utah State University,367700,7,1084.0,0.3679,0.3339,0.96670379997524,17903.0,8652.0,0.904179409,8000,60534.36,1,4,1,0.0,0.0,13.0,11559.0,Graduate,Public,Rocky Mtns,City: Small,City
Utah Valley University,402700,7,,0.3626,0.2906,,20946.0,7426.0,0.856269113,8617,65815.47,1,4,1,0.0,0.0,13.0,8259.0,Graduate,Public,Rocky Mtns,City: Small,City
Salt Lake Community College,522000,7,,0.2904,0.1817,,21596.0,6189.0,0.803278689,4500,68515.5,2,2,1,0.0,0.0,21.0,7937.0,Associates,Public,Rocky Mtns,Suburb: Large,Suburb
University of Utah,367500,7,1130.0,0.2988,0.3351,0.81427632659766,19718.0,9971.0,0.869042851,12000,69474.52,1,4,1,0.0,0.0,12.0,13969.0,Graduate,Public,Rocky Mtns,City: Midsize,City
Weber State University,368000,7,,0.2803,0.2499,,15853.0,7386.0,0.892371996,8561,66371.04,1,4,1,0.0,0.0,13.0,11571.0,Graduate,Public,Rocky Mtns,City: Small,City
Westminster College,368100,7,1124.0,0.2387,0.4572,0.95952023988006,1878.0,8363.0,0.902152642,18500,70649.66,1,4,2,0.0,0.0,12.0,22078.0,Graduate,Private non-profit,Rocky Mtns,City: Midsize,City
Bennington College,368200,1,,0.2106,0.5364,0.6305732484076401,508.0,9385.0,0.872340426,21000,77879.63,1,4,2,0.0,0.0,32.0,31774.0,Graduate,Private non-profit,New England,Town: Distant,Town
Castleton University,368300,1,959.0,0.3592,0.7542,0.96772639691714,1480.0,6342.0,0.892787524,19500,61392.97,1,4,1,0.0,0.0,32.0,16679.0,Graduate,Public,New England,Town: Distant,Town
Champlain College,368400,1,1156.0,0.2254,0.5794,0.66171469482727,2530.0,8227.0,0.918803419,19500,72226.81,1,4,2,0.0,0.0,13.0,33674.0,Graduate,Private non-profit,New England,City: Small,City
Community College of Vermont,1116700,1,,0.3815,0.2083,,4412.0,,0.695945946,4891.5,55615.66,2,2,1,0.0,0.0,22.0,11028.0,Associates,Public,New England,Suburb: Midsize,Suburb
Goddard College,368600,1,,0.5131,0.7173,1.0,339.0,5139.0,0.697478992,18402,61220.47,1,4,2,0.0,0.0,42.0,21235.0,Graduate,Private non-profit,New England,Rural: Distant,Rural
Green Mountain College,368700,1,,0.3822,0.6789,0.6593939393939301,631.0,6037.0,0.83,14000,70763.05,1,4,2,0.0,0.0,42.0,22211.0,Graduate,Private non-profit,New England,Rural: Distant,Rural
Johnson State College,368800,1,975.0,0.5028,0.7106,0.95176470588235,1361.0,6942.0,0.779069767,16038,60809.44,1,4,1,0.0,0.0,42.0,14852.0,Graduate,Public,New England,Rural: Distant,Rural
Lyndon State College,368900,1,937.0,0.3908,0.7191,0.98474576271186,1188.0,6114.0,0.808383234,15956.5,58494.41,1,4,1,0.0,0.0,33.0,14810.0,Graduate,Public,New England,Town: Remote,Town
Marlboro College,369000,1,,0.3522,0.6217,0.94444444444444,321.0,4962.0,0.861386139,20000,70203.93,1,3,2,0.0,0.0,42.0,28191.0,Bachelors,Private non-profit,New England,Rural: Distant,Rural
Middlebury College,369100,1,1383.0,0.1334,0.247,0.17444606905859,2292.0,10741.0,0.900355872,14736,77169.17,1,4,2,0.0,0.0,32.0,23303.0,Graduate,Private non-profit,New England,Town: Distant,Town
New England Culinary Institute,2254000,1,,0.3258,0.618,,177.0,4953.0,0.765100671,17000,63893.98,1,3,3,0.0,0.0,32.0,20184.0,Bachelors,Private for-profit,New England,Town: Distant,Town
Norwich University,369200,1,,0.2728,0.6222,0.5703787450537,2099.0,7421.0,0.9375,17500,68974.52,1,4,2,0.0,0.0,32.0,25461.0,Graduate,Private non-profit,New England,Town: Distant,Town
Saint Michael's College,369400,1,,0.1719,0.6288,0.75959723096286,2073.0,8362.0,0.945747801,26000,75427.87,1,4,2,0.0,0.0,22.0,28536.0,Graduate,Private non-profit,New England,Suburb: Midsize,Suburb
SIT Graduate Institute,886000,1,,,,,0.0,5557.0,PrivacySuppressed,2400,68457.09,1,4,2,0.0,0.0,41.0,,Graduate,Private non-profit,New England,Rural: Fringe,Rural
College of St Joseph,368500,1,,0.6179,0.8333,0.7051282051282,371.0,4320.0,PrivacySuppressed,11942,53608.55,1,4,2,0.0,0.0,32.0,17389.0,Graduate,Private non-profit,New England,Town: Distant,Town
Southern Vermont College,369300,1,894.0,0.5538,0.8440000000000001,0.6312625250500999,455.0,5344.0,PrivacySuppressed,22143,60680.57,1,3,2,0.0,0.0,41.0,19866.0,Bachelors,Private non-profit,New England,Rural: Fringe,Rural
Sterling College,2143500,1,,0.5664,0.6637,0.69523809523809,29.0,3948.0,PrivacySuppressed,13500,65828.11,1,3,2,0.0,0.0,43.0,21008.0,Bachelors,Private non-profit,New England,Rural: Remote,Rural
Vermont Law School,1193400,1,,,,,,9646.0,,PrivacySuppressed,66187.07,1,4,2,0.0,0.0,43.0,,Graduate,Private non-profit,New England,Rural: Remote,Rural
Vermont Technical College,369800,1,,0.3457,0.6174,0.84875846501128,1145.0,6225.0,0.87755102,12600,58283.13,1,3,1,0.0,0.0,43.0,18775.0,Bachelors,Public,New England,Rural: Remote,Rural
University of Vermont,369600,1,1211.0,0.1743,0.4445,0.70851467911687,8618.0,9807.0,0.925672595,17750,74257.05,1,4,1,0.0,0.0,13.0,17414.0,Graduate,Public,New England,City: Small,City
Paul Mitchell the School-Roanoke,3010700,5,,0.3333,0.3684,,82.0,,PrivacySuppressed,9500,48144.29,3,1,3,0.0,0.0,13.0,13386.0,Certificate,Private for-profit,South East,City: Small,City
Advanced Technology Institute,3127500,5,,0.3361,0.2845,0.65836298932384,273.0,3898.0,0.424686193,13806.5,59955.85,2,2,3,0.0,0.0,11.0,19892.0,Associates,Private for-profit,South East,City: Large,City
